D0	D1	D2	D3	a	b	c	d	e	f	g
1	1	1	1	1	1	1	1	0	1	1
0	1	1	1	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	0	0	1
0	0	0	1	1	1	1	1	0	0	1
0	0	0	1	0	1	1	0	0	0	0
0	0	0	0	1	1	1	1	1	1	0
0	0	0	1	0	1	1	0	0	0	0
0	0	0	0	1	1	1	1	1	1	0
0	0	1	0	1	1	0	1	1	0	1
0	0	1	1	1	1	1	1	0	0	1
0	0	1	0	1	1	1	1	0	0	1
0	0	1	0	1	1	0	1	1	0	1
0	0	0	0	1	1	1	1	1	1	0
0	1	0	0	0	1	1	0	0	1	1
0	1	0	1	0	1	1	0	0	1	1
0	1	0	1	1	0	1	1	0	1	1
0	1	1	1	1	1	1	0	0	0	0
0	1	1	0	1	1	1	0	0	0	0
0	1	1	0	1	0	1	1	1	1	1
0	1	0	0	0	1	1	0	0	1	1
0	1	1	0	1	0	1	1	1	1	1
0	1	1	1	1	1	1	0	0	0	0
1	1	1	1	1	1	1	0	0	0	0
1	1	1	1	1	1	1	1	0	1	1
1	0	1	1	1	1	1	1	0	1	1
1	0	0	1	1	1	1	1	0	1	1
1	0	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	0	1	1
1	0	0	0	1	1	1	1	1	1	1
0	0	0	0	1	1	1	1	1	1	1
0	0	0	0	1	1	1	1	1	1	0
0	1	0	0	0	1	1	0	0	1	1
0	1	1	0	1	0	1	1	1	1	1
0	1	1	1	1	1	1	0	0	0	0
0	1	1	0	1	0	1	1	1	1	1
0	1	0	0	1	0	1	1	1	1	1
0	1	0	0	0	1	1	0	0	1	1
0	1	0	1	1	0	1	1	0	1	1
0	1	0	0	0	1	1	0	0	1	1
0	0	0	0	1	1	1	1	1	1	0
0	0	0	1	0	1	1	0	0	0	0
0	0	1	1	1	1	1	1	0	0	1
0	0	1	0	1	1	0	1	1	0	1
0	0	0	0	1	1	1	1	1	1	0
0	0	0	1	0	1	1	0	0	0	0
0	0	0	0	1	1	1	1	1	1	0
1	0	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	0	1	1
0	0	0	1	0	1	1	0	0	0	0
0	1	0	1	1	0	1	1	0	1	1
0	1	1	1	1	0	1	1	0	1	1
0	1	1	1	1	1	1	0	0	0	0
1	1	1	1	1	1	1	1	0	1	1
0	1	1	1	1	1	1	0	0	0	0
1	1	1	1	1	1	1	1	0	1	1
0	1	1	1	1	1	1	1	0	1	1
0	1	1	1	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	0	0	1
0	0	0	1	0	1	1	0	0	0	0
1	0	0	1	1	1	1	1	0	1	1
1	0	0	0	1	1	1	1	1	1	1
1	0	1	0	1	1	0	1	1	1	1
0	0	1	0	1	1	0	1	1	0	1
1	0	1	0	1	1	0	1	1	1	1
0	0	1	0	1	1	0	1	1	0	1
1	0	1	0	1	1	0	1	1	1	1
D3	D1	D2	D3	a	b	c	d	e	f	g
1	1	1	0	1	0	1	1	1	1	1
D3	D2	D2	D3	a	b	c	d	e	f	g
1	1	0	0	1	1	1	1	0	1	1
D3	D2	D1	D3	a	b	c	d	e	f	g
1	1	0	1	1	0	1	1	0	1	1
